# ----------------------------------------
# Vue d'ensemble "Comprendre le trafic Web et/ou dans votre application"
# Compte : H Sèchement
# Propriété : H Sèchement 
# ----------------------------------------
#  
# Date de début : 20250101
# Date de fin : 20250726
Identifiant du pays,Utilisateurs actifs
BE,1
BJ,5
BR,1
CH,142
CN,1
DE,1
FR,10
GR,1
ID,4
IE,2
IN,2
JP,4
KR,3
NZ,1
PK,2
PL,1
RE,1
SE,1
US,24

# Date de début : 20250101
# Date de fin : 20250726
Pays,Utilisateurs actifs
CH,142
US,24
FR,10
BJ,5
ID,4
JP,4
KR,3

#  
# Date de début : 20250101
# Date de fin : 20250726
Ville,Utilisateurs actifs
Lausanne,42
Zurich,26
Bulle,17
Fiesch,13
Lyss,12
Schaffhausen,11
Zug,11
Winterthur,10
Sion,7
Bern,6
Boardman,6
Langenthal,6
Thun,6
Ashburn,5
Cotonou,5
Monthey,5
Paris,5
Chatel-Saint-Denis,4
Geneva,4
Lucerne,4
Martigny,4
Basel,3
Bex,2
Coimbatore,2
Daillens,2
Dublin,2
Echallens,2
Frauenfeld,2
Karachi,2
Palm Springs,2
Yverdon-les-Bains,2
24634,1
8024,1
89066,1
Aarau,1
Alamogordo,1
Ascona,1
Athens,1
Attalens,1
Beinwil am See,1
Chur,1
Crans-Montana,1
Crissier,1
Denpasar,1
Dielsdorf,1
Ecublens,1
Epalinges,1
Fribourg,1
Gland,1
Gwangju,1
Hangzhou,1
Hausen bei Brugg,1
Jakarta,1
Katsuura,1
Lavaur,1
Le Mont-sur-Lausanne,1
Lubuk Sikaping,1
Lyon,1
Makassar,1
Marseille,1
Meyrin,1
Montreux,1
Morges,1
Nagoya,1
Neuchatel,1
Ninove,1
Plan-les-Ouates,1
Portland,1
Saint Pierre,1
Saint-Jean-de-Maurienne,1
Saint-Prex,1
Saint-Sulpice,1
Sarnen,1
Seongnam-si,1
Seoul,1
Sierre,1
Stockholm,1
Troistorrents,1
Val de Bagnes,1
Vallons-de-L'Erdre,1
Vallorbe,1
Vernier,1
Veyrier,1
Villeneuve,1
Zermatt,1

#  
# Date de début : 20250101
# Date de fin : 20250726
Nième jour,Durée d'engagement moyenne par utilisateur actif
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0.15789473684210525
0044,0
0045,0
0046,0
0047,25.333333333333332
0048,215.75
0049,50.5
0050,5.666666666666667
0051,63.333333333333336
0052,0
0053,0
0054,88.5
0055,68.75
0056,167.75
0057,184.83333333333334
0058,150
0059,92.71428571428571
0060,0
0061,48.25
0062,184.625
0063,93
0064,129.58333333333334
0065,138.5
0066,9
0067,8
0068,78.25
0069,134.83333333333334
0070,148.11111111111111
0071,106.375
0072,25.6
0073,110.75
0074,0
0075,80.85714285714286
0076,1
0077,81.55555555555556
0078,29.714285714285715
0079,6.333333333333333
0080,0
0081,0
0082,8.333333333333334
0083,71.85714285714286
0084,42.666666666666664
0085,7
0086,35
0087,19.333333333333332
0088,1.6666666666666667
