# ----------------------------------------
# Vue d'ensemble "Générer des prospects"
# Compte : H Sèchement
# Propriété : H Sèchement 
# ----------------------------------------
#  
# Date de début : 20250101
# Date de fin : 20250726
Nième jour,Nouveaux utilisateurs
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,19
0044,0
0045,0
0046,0
0047,3
0048,4
0049,2
0050,2
0051,2
0052,0
0053,0
0054,4
0055,1
0056,2
0057,1
0058,3
0059,1
0060,0
0061,3
0062,2
0063,1
0064,6
0065,2
0066,0
0067,0
0068,1
0069,1
0070,2
0071,4
0072,1
0073,1
0074,0
0075,3
0076,1
0077,7
0078,5
0079,3
0080,0
0081,2
0082,2
0083,9
0084,5
0085,1
0086,1
0087,2
0088,2
0089,3
0090,0
0091,0
0092,1
0093,0
0094,1
0095,1
0096,3
0097,1
0098,3
0099,1
0100,5
0101,5
0102,5
0103,1
0104,5
0105,1
0106,0
0107,0
0108,0
0109,1
0110,2
0111,0
0112,4
0113,1
0114,0
0115,0
0116,0
0117,0
0118,1
0119,0
0120,1
0121,0
0122,0
0123,0
0124,2
0125,1
0126,1
0127,0
0128,7
0129,2
0130,0
0131,3
0132,2
0133,1
0134,0
0135,1
0136,0
0137,1
0138,0
0139,1
0140,0
0141,0
0142,0
0143,0
0144,0
0145,0
0146,3
0147,2
0148,0
0149,4
0150,1
0151,1
0152,2
0153,1
0154,0
0155,0
0156,3
0157,1
0158,0
0159,0
0160,1
0161,1
0162,1
0163,4
0164,0
0165,2
0166,3
0167,2
0168,1
0169,0
0170,1
0171,0
0172,1
0173,1
0174,0
0175,1
0176,0
0177,2
0178,0
0179,0
0180,0
0181,0
0182,2
0183,1
0184,3
0185,0
0186,1
0187,0
0188,0
0189,3
0190,0
0191,1
0192,0
0193,0
0194,2
0195,2
0196,2
0197,4
0198,1
0199,1
0200,0
0201,0
0202,0
0203,0
0204,0
0205,0
0206,0

# Date de début : 20250101
# Date de fin : 20250726
Nième jour,Utilisateurs connus
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,1
0044,0
0045,0
0046,0
0047,0
0048,1
0049,1
0050,1
0051,1
0052,1
0053,0
0054,3
0055,4
0056,4
0057,5
0058,7
0059,6
0060,0
0061,4
0062,8
0063,1
0064,7
0065,4
0066,2
0067,1
0068,3
0069,6
0070,7
0071,5
0072,4
0073,3
0074,0
0075,6
0076,0
0077,2
0078,3
0079,0
0080,0
0081,0
0082,1
0083,6
0084,2
0085,0
0086,2
0087,1
0088,1
0089,0
0090,1
0091,4
0092,2
0093,2
0094,0
0095,0
0096,3
0097,1
0098,3
0099,0
0100,2
0101,0
0102,0
0103,3
0104,1
0105,2
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,1
0113,2
0114,0
0115,1
0116,0
0117,1
0118,1
0119,0
0120,1
0121,0
0122,0
0123,0
0124,0
0125,1
0126,1
0127,2
0128,1
0129,0
0130,0
0131,1
0132,1
0133,0
0134,0
0135,0
0136,0
0137,0
0138,0
0139,0
0140,0
0141,0
0142,0
0143,0
0144,0
0145,0
0146,2
0147,1
0148,0
0149,0
0150,0
0151,0
0152,0
0153,2
0154,1
0155,0
0156,0
0157,0
0158,0
0159,0
0160,1
0161,0
0162,0
0163,0
0164,0
0165,0
0166,0
0167,0
0168,0
0169,0
0170,0
0171,0
0172,0
0173,1
0174,1
0175,0
0176,0
0177,1
0178,0
0179,0
0180,1
0181,1
0182,0
0183,0
0184,1
0185,0
0186,0
0187,0
0188,2
0189,4
0190,1
0191,1
0192,1
0193,0
0194,0
0195,0
0196,0
0197,0
0198,2
0199,0
0200,0
0201,0
0202,0
0203,0
0204,1
0205,0
0206,0

#  
# Date de début : 20250101
# Date de fin : 20250726
Plate-forme,Événements clés


#  
# Date de début : 20250101
# Date de fin : 20250726
Groupe de canaux principal du premier utilisateur (Groupe de canaux par défaut),Nouveaux utilisateurs
Direct,135
Organic Search,85
Referral,10
Organic Social,7
Paid Search,4

# Arrivez-vous à fidéliser efficacement vos utilisateurs ?
# Date de début : 20250608
# Date de fin : 20250719
Date,Semaine 0,Semaine 1,Semaine 2,Semaine 3,Semaine 4,Semaine 5
8 juin - 14 juin,7,0,0,0
15 juin - 21 juin,9,0,0,0
22 juin - 28 juin,5,1,1,1
29 juin - 5 juil.,6,0,0,-1
6 juil. - 12 juil.,5,0,-1,-1
13 juil. - 19 juil.,12,-1,-1,-1

#  
# Date de début : 20250101
# Date de fin : 20250726
Nom de l'audience,Utilisateurs actifs
All Users,243

#  
# Date de début : 20250101
# Date de fin : 20250726
Ville,Utilisateurs actifs
Lausanne,42
Zurich,26
Bulle,17
Fiesch,13
Lyss,12
Schaffhausen,11
Zug,11
Winterthur,10
Sion,7
Bern,6
Boardman,6
Langenthal,6
Thun,6
Ashburn,5
Cotonou,5
Monthey,5
Paris,5
Chatel-Saint-Denis,4
Geneva,4
Lucerne,4
Martigny,4
Basel,3
Bex,2
Coimbatore,2
Daillens,2
Dublin,2
Echallens,2
Frauenfeld,2
Karachi,2
Palm Springs,2
Yverdon-les-Bains,2
24634,1
8024,1
89066,1
Aarau,1
Alamogordo,1
Ascona,1
Athens,1
Attalens,1
Beinwil am See,1
Chur,1
Crans-Montana,1
Crissier,1
Denpasar,1
Dielsdorf,1
Ecublens,1
Epalinges,1
Fribourg,1
Gland,1
Gwangju,1
Hangzhou,1
Hausen bei Brugg,1
Jakarta,1
Katsuura,1
Lavaur,1
Le Mont-sur-Lausanne,1
Lubuk Sikaping,1
Lyon,1
Makassar,1
Marseille,1
Meyrin,1
Montreux,1
Morges,1
Nagoya,1
Neuchatel,1
Ninove,1
Plan-les-Ouates,1
Portland,1
Saint Pierre,1
Saint-Jean-de-Maurienne,1
Saint-Prex,1
Saint-Sulpice,1
Sarnen,1
Seongnam-si,1
Seoul,1
Sierre,1
Stockholm,1
Troistorrents,1
Val de Bagnes,1
Vallons-de-L'Erdre,1
Vallorbe,1
Vernier,1
Veyrier,1
Villeneuve,1
Zermatt,1

#  
# Date de début : 20250101
# Date de fin : 20250726
Page de destination + chaîne de requête,Impressions dans la recherche naturelle Google
/,650
/politique-de-confidentialite/,84
/mentions-legales/,67
/expert-en-assechement-h-sechement/,61
/shopdetail/21504543,44
/?romethemeform_entry=entry-3,27
/shopdetail/10196310,18
/shopdetail/6523432,18
/?romethemeform_entry=entry-2,17
/pcmypage?callback=/product%2Fdetail%2F16008574,16
/safe_search/config?return_url=%2Fproduct%2Fdetail%2F99464915,15
/safe_search/config?return_url=/product/detail/56623942,15
/shopdetail/6315265,15
/?romethemeform_form=115,14
/shopdetail/3823610,12
/shopdetail/24503310,11
/shopdetail/27130965,11
/shopdetail/30833598,11
/pcmypage?callback=/product/detail/68914725,10
/shopdetail/19977276,10
/?romethemeform_entry=entry,9
/?romethemeform_form=contact,9
/pcmypage?callback=/product%2Fdetail%2F74240590,9
/pcmypage?callback=product/detail/15916043,9
/pcmypage?callback=product/detail/84049092,9
/safe_search/config?return_url=/product/detail/14552739,9
/safe_search/config?return_url=/product/detail/55550028,9
/shopdetail/11865898,9
/shopdetail/18065121,9
/shopdetail/4661609,9
/pcmypage?callback=/product/detail/48705947,8
/pcmypage?callback=product%2Fdetail%2F15089884,8
/product/edit/88132808,8
/shopdetail/10999354,8
/shopdetail/25411087,8
/pcmypage?callback=product%2Fdetail%2F23960131,7
/pcmypage?callback=product%2Fdetail%2F48454549,7
/shopdetail/14578709,7
/shopdetail/8072610,7
/shopdetail/8160032,7
/?romethemeform_entry=entry-10,6
/pcmypage?callback=/product/detail/27126672,6
/pcmypage?callback=product%2Fdetail%2F71225172,6
/pcmypage?callback=product/detail/82516280,6
/pcmypage?callback=product/detail/97566732,6
/safe_search/config?return_url=%2Fproduct%2Fdetail%2F79434832,6
/safe_search/config?return_url=/product/detail/57151694,6
/sample-page/,6
/shopdetail/10056332,6
/shopdetail/18196376,6
/shopdetail/25840987,6
/shopdetail/26760010,6
/shopdetail/6435509,6
/shopdetail/8969909,6
/shopdetail/9185432,6
/pcmypage?callback=/product%2Fdetail%2F28109868,5
/pcmypage?callback=/product%2Fdetail%2F76196481,5
/pcmypage?callback=/product/detail/27754388,5
/pcmypage?callback=product/review/48193292,5
/pcmypage?callback=product/review/99141296,5
/safe_search/config?return_url=/product/detail/37548757,5
/shopdetail/11078076,5
/shopdetail/1193765,5
/shopdetail/13722187,5
/shopdetail/13795465,5
/shopdetail/16233098,5
/shopdetail/19036809,5
/shopdetail/20253387,5
/shopdetail/22673887,5
/shopdetail/23462310,5
/shopdetail/25252110,5
/shopdetail/29372209,5
/shopdetail/29600054,5
/shopdetail/29658509,5
/shopdetail/3121321,5
/shopdetail/3575176,5
/shopdetail/4273154,5
/shopdetail/5126565,5
/shopdetail/6083132,5
/shopdetail/9047854,5
/toiawase,5
/?romethemeform_form=sign-up,4
/pcmypage?callback=/product%2Fdetail%2F90631759,4
/pcmypage?callback=/product/detail/16008574,4
/pcmypage?callback=/product/detail/28892666,4
/pcmypage?callback=product%2Fdetail%2F14531455,4
/pcmypage?callback=product%2Fdetail%2F45306361,4
/pcmypage?callback=product%2Fdetail%2F79434832,4
/pcmypage?callback=product/detail/95174055,4
/pcmypage?callback=product/review/90588096,4
/politique-de-cookies/,4
/product/edit/72261578,4
/safe_search/config?return_url=%2Fproduct%2Fdetail%2F17956618,4
/safe_search/config?return_url=/product/detail/63992639,4
/shopdetail/10137609,4
/shopdetail/10382587,4
/shopdetail/11304076,4
/shopdetail/11970265,4
/shopdetail/13333321,4
/shopdetail/15183132,4
/shopdetail/15420232,4
/shopdetail/18050387,4
/shopdetail/18755910,4
/shopdetail/2181409,4
/shopdetail/27483365,4
/shopdetail/29697321,4
/shopdetail/30153387,4
/shopdetail/30423754,4
/shopdetail/6340709,4
/shopdetail/9680810,4
/affiliate,3
/feature/index.html,3
/pcmypage/,3
/pcmypage?callback=/product%2Fdetail%2F37794672,3
/pcmypage?callback=/product%2Fdetail%2F64124135,3
/pcmypage?callback=/product%2Fdetail%2F75332062,3
