# ----------------------------------------
# Vue d'ensemble "Voir l'engagement et la rétention des utilisateurs"
# Compte : H Sèchement
# Propriété : H Sèchement 
# ----------------------------------------
#  
# Date de début : 20250101
# Date de fin : 20250726
Nième jour,Utilisateurs actifs
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,19
0044,0
0045,0
0046,0
0047,3
0048,4
0049,2
0050,3
0051,3
0052,1
0053,0
0054,6
0055,4
0056,4
0057,6
0058,10
0059,7
0060,0
0061,8
0062,8
0063,2
0064,12
0065,6
0066,2
0067,1
0068,4
0069,6
0070,9
0071,8
0072,5
0073,4
0074,0
0075,7
0076,1
0077,9
0078,7
0079,3
0080,0
0081,2
0082,3
0083,14
0084,6
0085,1
0086,3
0087,3
0088,3
0089,3
0090,1
0091,4
0092,3
0093,2
0094,1
0095,1
0096,6
0097,2
0098,4
0099,1
0100,7
0101,5
0102,5
0103,3
0104,5
0105,3
0106,0
0107,0
0108,0
0109,1
0110,2
0111,0
0112,4
0113,3
0114,0
0115,1
0116,0
0117,1
0118,2
0119,0
0120,1
0121,0
0122,0
0123,0
0124,2
0125,2
0126,1
0127,2
0128,8
0129,2
0130,0
0131,4
0132,2
0133,1
0134,0
0135,1
0136,0
0137,1
0138,0
0139,1
0140,0
0141,0
0142,0
0143,0
0144,0
0145,0
0146,4
0147,2
0148,0
0149,4
0150,1
0151,1
0152,2
0153,2
0154,1
0155,0
0156,3
0157,1
0158,0
0159,0
0160,2
0161,1
0162,1
0163,4
0164,0
0165,2
0166,3
0167,2
0168,1
0169,0
0170,1
0171,0
0172,1
0173,2
0174,1
0175,1
0176,0
0177,2
0178,0
0179,0
0180,1
0181,1
0182,2
0183,1
0184,3
0185,0
0186,1
0187,0
0188,2
0189,6
0190,1
0191,1
0192,1
0193,0
0194,2
0195,2
0196,2
0197,4
0198,3
0199,1
0200,0
0201,0
0202,0
0203,0
0204,1
0205,0
0206,0

# Date de début : 20250101
# Date de fin : 20250726
Nième jour,Nouveaux utilisateurs
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,19
0044,0
0045,0
0046,0
0047,3
0048,4
0049,2
0050,2
0051,2
0052,0
0053,0
0054,4
0055,1
0056,2
0057,1
0058,3
0059,1
0060,0
0061,3
0062,2
0063,1
0064,6
0065,2
0066,0
0067,0
0068,1
0069,1
0070,2
0071,4
0072,1
0073,1
0074,0
0075,3
0076,1
0077,7
0078,5
0079,3
0080,0
0081,2
0082,2
0083,9
0084,5
0085,1
0086,1
0087,2
0088,2
0089,3
0090,0
0091,0
0092,1
0093,0
0094,1
0095,1
0096,3
0097,1
0098,3
0099,1
0100,5
0101,5
0102,5
0103,1
0104,5
0105,1
0106,0
0107,0
0108,0
0109,1
0110,2
0111,0
0112,4
0113,1
0114,0
0115,0
0116,0
0117,0
0118,1
0119,0
0120,1
0121,0
0122,0
0123,0
0124,2
0125,1
0126,1
0127,0
0128,7
0129,2
0130,0
0131,3
0132,2
0133,1
0134,0
0135,1
0136,0
0137,1
0138,0
0139,1
0140,0
0141,0
0142,0
0143,0
0144,0
0145,0
0146,3
0147,2
0148,0
0149,4
0150,1
0151,1
0152,2
0153,1
0154,0
0155,0
0156,3
0157,1
0158,0
0159,0
0160,1
0161,1
0162,1
0163,4
0164,0
0165,2
0166,3
0167,2
0168,1
0169,0
0170,1
0171,0
0172,1
0173,1
0174,0
0175,1
0176,0
0177,2
0178,0
0179,0
0180,0
0181,0
0182,2
0183,1
0184,3
0185,0
0186,1
0187,0
0188,0
0189,3
0190,0
0191,1
0192,0
0193,0
0194,2
0195,2
0196,2
0197,4
0198,1
0199,1
0200,0
0201,0
0202,0
0203,0
0204,0
0205,0
0206,0

# D'où proviennent vos nouveaux utilisateurs ?
# Date de début : 20250101
# Date de fin : 20250726
Groupe de canaux principal du premier utilisateur (Groupe de canaux par défaut),Nouveaux utilisateurs
Direct,135
Organic Search,85
Referral,10
Organic Social,7
Paid Search,4

#  
# Date de début : 20250101
# Date de fin : 20250726
Titre de la page et classe de l'écran,Vues
Assainissement : Détection de fuites et assèchement à Bettens,355
H-Sèchement : Assèchement et gestion de l’humidité,194
"H-Sèchement : Assèchement et gestion de l’humidité, dégâts d'eau.",185
"Fuites, Assèchement, Assainissement | Experts H-Sèchement",165
Contact H-Sèchement | Assèchement & fuites Arc lémanique,158
Solutions pour dégâts d'eau : Assèchement et assainissement.,92
H-Sèchement,90
Services - Détection et assèchement de l’humidité en Suisse Romande,72
FAQ Dégât des Eaux : Réponses d’Experts pour Assécher et Réparer | H-Sèchement,64
"Services : Détection de fuites, Assèchement, Assainissement",56
Assèchement Technique & Déshumidification,47
Entreprise - Détection et assèchement de l’humidité en Suisse Romande,43
Page Not Found - Détection et assèchement de l’humidité en Suisse Romande,32
Contact - Détection et assèchement de l’humidité en Suisse Romande,25
H-Sèchement : Qui sommes-nous ? Votre expert en assèchement,25
Contactez H-Sèchement - Devis Gratuit,21
Questions fréquentes sur l'assèchement,18
Politique de confidentialité | H-Sèchement,10
Home - Détection et assèchement de l’humidité en Suisse Romande,8
Politique de confidentialité - Détection et assèchement de l’humidité en Suisse Romande,8
Mentions légales - Détection et assèchement de l’humidité en Suisse Romande,5
H-Sèchement: Expert en Assèchement et Humidité,3
Mentions légales | H-Sèchement,3
Politique de cookies - Détection et assèchement de l’humidité en Suisse Romande,3
contact - Détection et assèchement de l’humidité en Suisse Romande,3
Entry # 358 - Détection et assèchement de l’humidité en Suisse Romande,2
Entry # 683 - Détection et assèchement de l’humidité en Suisse Romande,2
Footer - Détection et assèchement de l’humidité en Suisse Romande,2
Header - Détection et assèchement de l’humidité en Suisse Romande,2
Hello world! - Détection et assèchement de l’humidité en Suisse Romande,2
Sample Page - Détection et assèchement de l’humidité en Suisse Romande,2
Sign up - Détection et assèchement de l’humidité en Suisse Romande,2
Uncategorized - Détection et assèchement de l’humidité en Suisse Romande,2
hsechement.ch - Détection et assèchement de l’humidité en Suisse Romande,2
- Détection et assèchement de l’humidité en Suisse Romande,1
Entry # 763 - Détection et assèchement de l’humidité en Suisse Romande,1
"H-Drying: Drying and moisture management, water damage.",1
Politique de cookies | H-Sèchement,1
Privacy Policy - Détection et assèchement de l’humidité en Suisse Romande,1

#  
# Date de début : 20250101
# Date de fin : 20250726
Plate-forme,Utilisateurs actifs
"[""Web""]",243

#  
# Date de début : 20250101
# Date de fin : 20250726
Cohorte,Jour 1,Jour 7,Jour 30
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0.25
49,0.5,0.5,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0.25,0
55,0,0,0
56,1,0,0
57,0,0,0
58,0.6666666666666666,0.3333333333333333,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,1,0,0
70,0.5,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,1,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0.3333333333333333,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0.3333333333333333,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0

#  
# Date de début : 20250101
# Date de fin : 20250726
Cohorte,Jour 1,Jour 7,Jour 30
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
