Date,Clics,Impressions,CTR,Position
2025-09-06,0,7,0%,61
2025-09-05,0,11,0%,71.09
2025-09-04,2,12,16.67%,51.75
2025-09-03,0,9,0%,79.78
2025-09-02,1,13,7.69%,41.38
2025-09-01,0,3,0%,73
2025-08-31,0,8,0%,68.12
2025-08-30,0,2,0%,58
2025-08-29,0,6,0%,67.5
2025-08-28,1,10,10%,62.6
2025-08-27,0,10,0%,75.3
2025-08-26,0,14,0%,59.64
2025-08-25,0,9,0%,73.33
2025-08-24,0,9,0%,75
2025-08-23,0,8,0%,73.62
2025-08-22,1,12,8.33%,54.33
2025-08-21,0,10,0%,65.9
2025-08-20,0,11,0%,68.45
2025-08-19,0,12,0%,55.92
2025-08-18,0,10,0%,59.9
2025-08-17,0,9,0%,69
2025-08-16,0,7,0%,78.57
2025-08-15,0,8,0%,71.88
2025-08-14,1,12,8.33%,56.08
2025-08-13,0,11,0%,76.82
2025-08-12,3,12,25%,40.92
2025-08-11,0,10,0%,36.4
2025-08-10,0,8,0%,46.62
2025-08-09,0,9,0%,69.22
2025-08-08,0,8,0%,54.75
2025-08-07,0,5,0%,47.4
2025-08-06,0,5,0%,54.4
2025-08-05,0,4,0%,45.25
2025-08-04,0,6,0%,15.5
2025-08-03,0,5,0%,38
2025-08-02,0,5,0%,35.6
2025-08-01,0,2,0%,3
2025-07-31,1,5,20%,34.6
2025-07-30,0,7,0%,26.14
2025-07-29,0,6,0%,26.33
2025-07-28,0,6,0%,28.67
2025-07-27,0,5,0%,30.2
2025-07-26,0,6,0%,28.17
2025-07-25,0,7,0%,13.57
2025-07-24,0,4,0%,21.75
2025-07-23,0,3,0%,42
2025-07-22,0,2,0%,2
2025-07-21,0,5,0%,51.8
2025-07-20,0,5,0%,21.6
2025-07-19,0,14,0%,9.64
2025-07-18,1,14,7.14%,15.29
2025-07-17,3,8,37.5%,14.75
2025-07-16,2,14,14.29%,17.36
2025-07-15,2,13,15.38%,23.92
2025-07-14,2,8,25%,13.25
2025-07-13,0,3,0%,34.67
2025-07-12,0,7,0%,70.71
2025-07-11,0,8,0%,64.5
2025-07-10,1,3,33.33%,34.67
2025-07-09,2,32,6.25%,3
2025-07-08,1,5,20%,2.6
2025-07-07,0,7,0%,2.29
2025-07-06,1,5,20%,2.6
2025-07-05,0,2,0%,3
2025-07-04,1,10,10%,12.2
2025-07-03,1,6,16.67%,47.5
2025-07-02,1,11,9.09%,27.73
2025-07-01,0,11,0%,19.09
2025-06-30,0,6,0%,16.5
2025-06-29,0,2,0%,2.5
2025-06-28,0,2,0%,39
2025-06-27,0,7,0%,21.29
2025-06-26,0,7,0%,21.14
2025-06-25,1,8,12.5%,22.5
2025-06-24,0,6,0%,27.67
2025-06-23,0,6,0%,28.5
2025-06-22,0,3,0%,24.67
2025-06-21,0,4,0%,19.25
2025-06-20,1,7,14.29%,46.71
2025-06-19,0,7,0%,44
2025-06-18,0,14,0%,59.36
2025-06-17,0,6,0%,53.5
2025-06-16,0,7,0%,59.29
2025-06-15,0,10,0%,48.1
2025-06-14,0,6,0%,54.17
2025-06-13,0,14,0%,47.29
2025-06-12,1,10,10%,36.2
2025-06-11,0,12,0%,28.08
2025-06-10,2,20,10%,31.85
2025-06-09,0,11,0%,31.64
2025-06-08,0,7,0%,25.43
2025-06-07,0,8,0%,39.75
