Pays,Clics,Impressions,CTR,Position
Suisse,32,574,5.57%,41.02
France,1,10,10%,8.3
États-Unis,0,42,0%,67.76
Brésil,0,35,0%,46.23
Russie,0,14,0%,41.57
Corée du Sud,0,13,0%,17
Inde,0,7,0%,47.14
Vietnam,0,4,0%,21.25
Argentine,0,3,0%,30
Canada,0,3,0%,35
Pays-Bas,0,3,0%,49.33
Moldavie,0,2,0%,3
Pologne,0,2,0%,3
Roumanie,0,2,0%,3.5
Pakistan,0,2,0%,34.5
Indonésie,0,2,0%,38.5
Colombie,0,2,0%,78
Belgique,0,1,0%,1
Bosnie-Herzégovine,0,1,0%,2
Chili,0,1,0%,2
République tchèque,0,1,0%,2
Philippines,0,1,0%,2
Serbie,0,1,0%,2
Turquie,0,1,0%,2
Éthiopie,0,1,0%,3
Finlande,0,1,0%,3
Grèce,0,1,0%,3
Iran,0,1,0%,3
Lituanie,0,1,0%,3
Uruguay,0,1,0%,3
Émirats Arabes Unis,0,1,0%,7
Monaco,0,1,0%,14
Espagne,0,1,0%,24
Honduras,0,1,0%,67
Bulgarie,0,1,0%,68
Singapour,0,1,0%,69
Kazakhstan,0,1,0%,70
Algérie,0,1,0%,72
Taïwan,0,1,0%,76
Royaume-Uni,0,1,0%,79
Allemagne,0,1,0%,96
