Pays,Clics,Impressions,CTR,Position
Suisse,35,625,5.6%,42.31
France,2,12,16.67%,7.75
États-Unis,0,32,0%,68.41
Brésil,0,27,0%,50.26
Russie,0,10,0%,40.6
Corée du Sud,0,7,0%,2.57
Inde,0,6,0%,46.33
Vietnam,0,4,0%,21.25
Canada,0,3,0%,31
Pays-Bas,0,3,0%,49.33
Allemagne,0,2,0%,3
Pologne,0,2,0%,3
Indonésie,0,2,0%,38.5
Argentine,0,2,0%,44
Colombie,0,2,0%,78
Belgique,0,1,0%,1
Bosnie-Herzégovine,0,1,0%,2
Serbie,0,1,0%,2
Éthiopie,0,1,0%,3
Finlande,0,1,0%,3
Grèce,0,1,0%,3
Lituanie,0,1,0%,3
Moldavie,0,1,0%,3
Uruguay,0,1,0%,3
Émirats Arabes Unis,0,1,0%,7
Espagne,0,1,0%,24
Singapour,0,1,0%,69
Algérie,0,1,0%,72
Taïwan,0,1,0%,76
Royaume-Uni,0,1,0%,79
