# ----------------------------------------
# Vue d'ensemble "Voir l'engagement et la rétention des utilisateurs"
# Compte : H Sèchement
# Propriété : H Sèchement 
# ----------------------------------------
#  
# Date de début : 20250615
# Date de fin : 20250912
Nième semaine,Utilisateurs actifs
0000,9
0001,7
0002,7
0003,8
0004,13
0005,1
0006,1
0007,6
0008,5
0009,5
0010,4
0011,6
0012,9

# Date de début : 20250615
# Date de fin : 20250912
Nième semaine,Nouveaux utilisateurs
0000,9
0001,5
0002,6
0003,5
0004,12
0005,0
0006,1
0007,4
0008,3
0009,4
0010,2
0011,5
0012,7

# D'où proviennent vos nouveaux utilisateurs ?
# Date de début : 20250615
# Date de fin : 20250912
Groupe de canaux principal du premier utilisateur (Groupe de canaux par défaut),Nouveaux utilisateurs
Organic Search,40
Direct,23

#  
# Date de début : 20250615
# Date de fin : 20250912
Titre de la page et classe de l'écran,Vues
H-Sèchement,147
Assèchement Technique & Déshumidification,65
H-Sèchement : Qui sommes-nous ? Votre expert en assèchement,45
Contactez H-Sèchement - Devis Gratuit,37
Questions fréquentes sur l'assèchement,22
"H-Sèchement : Assèchement et gestion de l’humidité, dégâts d'eau.",21
Dégât d’eau urgent : Lausanne & Bussigny – H-Sèchement,13
"Fuites, Assèchement, Assainissement | Experts H-Sèchement",10
H-Sèchement : Assèchement et gestion de l’humidité,7
FAQ Dégât des Eaux : Réponses d’Experts pour Assécher et Réparer | H-Sèchement,6
Assainissement d’urgence 1 h Lausanne & Bussigny,4
Contact H-Sèchement | Assèchement & fuites Arc lémanique,2
Solutions pour dégâts d'eau : Assèchement et assainissement.,1

#  
# Date de début : 20250615
# Date de fin : 20250912
Plate-forme,Utilisateurs actifs
"[""Web""]",68

#  
# Date de début : 20250615
# Date de fin : 20250912
Cohorte,Jour 1,Jour 7,Jour 30
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0.3333333333333333,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0

#  
# Date de début : 20250615
# Date de fin : 20250912
Cohorte,Jour 1,Jour 7,Jour 30
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,44,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0

#  
# Date de début : 20250802
# Date de fin : 20250912
Cohorte,Durée d'engagement moyenne par utilisateur actif
0000,17.422619047619047
0001,0
0002,7.170731707317073
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
