# ----------------------------------------
# Vue d'ensemble "Attributs utilisateur"
# Compte : H Sèchement
# Propriété : H Sèchement 
# ----------------------------------------
#  
# Date de début : 20250615
# Date de fin : 20250912
Identifiant du pays,Utilisateurs actifs
CH,57
FR,1
KR,1
NZ,2
US,5

# Date de début : 20250615
# Date de fin : 20250912
Pays,Utilisateurs actifs
CH,57
US,5
NZ,2
FR,1
KR,1

#  
# Date de début : 20250615
# Date de fin : 20250912
Ville,Utilisateurs actifs
Lausanne,13
Bulle,6
Zurich,6
Bern,4
Winterthur,4
Zug,4
Ashburn,3
Fiesch,3
8024,2
Columbus,2
Frauenfeld,2
Geneva,2
Lyss,2
Monthey,2
Thun,2
Yverdon-les-Bains,2
Basel,1
Collombey,1
Daillens,1
Echallens,1
Ecublens,1
Epalinges,1
Hausen bei Brugg,1
Langenthal,1
Lucerne,1
Lutry,1
Neuchatel,1
Paris,1
Pregny-Chambesy,1
Saint-Sulpice,1
Schaffhausen,1
Seongnam-si,1
Sion,1
Uster,1
Vernier,1
Villeneuve,1

#  
# Date de début : 20250615
# Date de fin : 20250912
Sexe,Utilisateurs actifs


#  
# Date de début : 20250615
# Date de fin : 20250912
Centres d'intérêt,Utilisateurs actifs


#  
# Date de début : 20250615
# Date de fin : 20250912
Âge,Utilisateurs actifs


#  
# Date de début : 20250615
# Date de fin : 20250912
Langue,Utilisateurs actifs
French,51
English,16
Korean,1

#  
# Date de début : 20250516
# Date de fin : 20250912
Cohorte,Valeur moyenne sur 120 j
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
